SerialICE: Open connection to target hardware...
SerialICE: Waiting for handshake with target... target alive!
SerialICE: Version.....: SerialICE v1.5 (Sep  5 2017)
SerialICE: Mainboard...: HP Mini 2133
SerialICE: LUA init...
SerialICE: LUA init...
SerialICE: Starting LUA script
SerialICE: LUA script initialized.
Registering physical memory at 0xffef0000 (0x00008000 bytes)
0000.0001    R.Q.    [ffff000:fff0]   MEM:  readb fffffff0 => ea
0000.0002    R.Q.    [ffff000:fff0]   MEM:  readw fffffff1 => ffaa
0000.0003    R.Q.    [ffff000:fff0]   MEM:  readw fffffff3 => f000
0000.0004    R.Q.    [f000:ffaa]   MEM:  readb 000fffaa => e9
0000.0005    R.Q.    [f000:ffaa]   MEM:  readw 000fffab => 00c3
0000.0006    R.Q.    [f000:0070]   MEM:  readb 000f0070 => e9
0000.0007    R.Q.    [f000:0070]   MEM:  readw 000f0071 => 11b8
0000.0008    R.Q.    [f000:122b]   MEM:  readb 000f122b => 66
0000.0009    R.Q.    [f000:122b]   MEM:  readl 000f1233 => 80008858
0000.000a    R.Q.    [f000:122b]   MEM:  readw 000f123f => 0cfc
0000.000b    R.Q.    [f000:122b]   MEM:  readl 000f1245 => 40000000
000d.000e    RH..    [f000:122b]   IO: outl 0cf8 <= 80008858
000d.000f    RH..    [f000:122b]   IO:  inl 0cfc => 01000020
000d.0010    RH..    [f000:122b]   IO: outl 0cfc <= 41000020
0011.0012    RH.U    [f000:1250]   CPUID: eax: 00000000; ecx: 00000000 => 00000001.746e6543.736c7561.48727561
0011.0013    R.Q.    [f000:125a]   MEM:  readw 000f1263 => 06d0
0011.0014    R.Q.    [f000:125a]   MEM:  readw 000f1267 => 0288
0011.0015    RH.U    [f000:1260]   CPUID: eax: 00000001; ecx: 736c7561 => 000006d0.00000800.00004181.a7c9bbff
0011.0016    R.Q.    [f000:14f1]   MEM:  readl 000f14f3 => 000001a0
0011.0017    R.Q.    [f000:14f1]   MEM:  readl 000f1507 => 00001107
0011.0018    R.Q.    [f000:14f1]   MEM:  readl 000f1516 => 0000116a
0011.0019    R.Q.    [f000:14f1]   MEM:  readl 000f1522 => 00001140
001a.001b    RH.U    [f000:14f7]   CPU MSR: [000001a0] => 00000000.00000000
001a.001c    RH.U    [f000:1503]   CPU MSR: [000001a0] <= 00000000.00110000
001a.001d    RH.U    [f000:150b]   CPU MSR: [00001107] => 3c3f8685.9f1f1ac6
001a.001e    RH.U    [f000:1512]   CPU MSR: [00001107] <= 3c3f8685.9f1f1ac6
001a.001f    RH.U    [f000:151a]   CPU MSR: [0000116a] => 00000000.00000003
001a.0020    RH.U    [f000:151e]   CPU MSR: [0000116a] <= 00000000.00000000
001a.0021    RH.U    [f000:1526]   CPU MSR: [00001140] => 00000800.04000000
001a.0022    R.Q.    [f000:154d]   MEM:  readl 000f154f => 00001140
001a.0023    RH.U    [f000:1553]   CPU MSR: [00001140] => 00000800.04000000
001a.0024    R.Q.    [f000:155b]   MEM:  readl 000f155d => 00001154
001a.0025    RH.U    [f000:1561]   CPU MSR: [00001154] => 00000000.fffdffff
001a.0026    R.Q.    [f000:1584]   MEM:  readl 000f1586 => 00001142
001a.0027    R.Q.    [f000:1584]   MEM:  readl 000f1595 => 00000198
001a.0028    R.Q.    [f000:1584]   MEM:  readl 000f15b1 => 00001140
001a.0029    RH.U    [f000:158a]   CPU MSR: [00001142] => 00000000.feff0323
001a.002a    RH.U    [f000:1591]   CPU MSR: [00001142] <= 00000000.feff03a3
001a.002b    RH.U    [f000:1599]   CPU MSR: [00000198] => 04060810.04000406
002c.002d    R..D    [f000:15ab]   CPU MSR: [00000199] <= 00000000.00000406
002e.002f    RH.U    [f000:15b5]   CPU MSR: [00001140] => 00000800.04000000
002e.0030    R.Q.    [f000:15c4]   MEM:  readl 000f15c6 => 0000019d
002e.0031    R.Q.    [f000:15c4]   MEM:  readl 000f15ce => 00001152
002e.0032    R.Q.    [f000:15c4]   MEM:  readl 000f15e1 => 000007ff
002e.0033    R.Q.    [f000:15c4]   MEM:  readl 000f15fb => 000007ff
002e.0034    R.Q.    [f000:15c4]   MEM:  readl 000f1601 => 00001168
002e.0035    R.Q.    [f000:15c4]   MEM:  readl 000f1645 => 00001165
002e.0036    R.Q.    [f000:15c4]   MEM:  readl 000f1651 => 00001164
002e.0037    R.Q.    [f000:15c4]   MEM:  readl 000f1659 => 00001141
002e.0038    R.Q.    [f000:15c4]   MEM:  readl 000f1662 => 80000000
002e.0039    R.Q.    [f000:15c4]   MEM:  readl 000f1676 => 0000116a
002e.003a    R.Q.    [f000:15c4]   MEM:  readl 000f1682 => 00000001
002e.003b    R.Q.    [f000:15c4]   MEM:  readl 000f168b => 00000080
002e.003c    RH.U    [f000:15ca]   CPU MSR: [0000019d] <= 00000800.00000406
002e.003d    RH.U    [f000:15d2]   CPU MSR: [00001152] => e6ecb39f.fbffffff
002e.003e    RH.U    [f000:15f0]   CPU MSR: [0000116b] <= 00000000.000001a6
002e.003f    RH.U    [f000:1605]   CPU MSR: [00001168] <= 00000000.00000191
002e.0040    RH.U    [f000:1628]   CPU MSR: [00001166] <= 00000000.0000007d
002e.0041    RH.U    [f000:1649]   CPU MSR: [00001165] <= 00000000.00000064
002e.0042    RH.U    [f000:1655]   CPU MSR: [00001164] <= 00000000.0000005f
002e.0043    RH.U    [f000:165d]   CPU MSR: [00001141] => 00000000.08000000
002e.0044    RH.U    [f000:1672]   CPU MSR: [00001141] <= 00000000.08000000
002e.0045    RH.U    [f000:167a]   CPU MSR: [0000116a] => 00000000.00000000
002e.0046    RH.U    [f000:167e]   CPU MSR: [0000116a] <= 00000000.00000003
0047.0048    RH.U    [f000:1686]   CPUID: eax: 00000001; ecx: 0000116a => 000006d0.00000800.00004181.a7c9bbff
0047.0049    R.Q.    [f000:16ab]   MEM:  readl 000f16ad => 00001141
0047.004a    R.Q.    [f000:16ab]   MEM:  readl 000f16c1 => 00001140
004b.004c    RH.U    [f000:16b1]   CPU MSR: [00001141] => 00000000.08000000
004b.004d    RH.U    [f000:16bd]   CPU MSR: [00001141] <= 00000000.08030000
004b.004e    RH.U    [f000:16c5]   CPU MSR: [00001140] => 00000800.04000000
004b.004f    R.Q.    [f000:16cd]   MEM:  readl 000f16cf => 00001154
004b.0050    RH.U    [f000:16d3]   CPU MSR: [00001154] => 00000000.fffdffff
004b.0051    R.Q.    [f000:16e5]   MEM:  readl 000f16e7 => 00001141
004b.0052    R.Q.    [f000:16e5]   MEM:  readl 000f16fb => 00001140
004b.0053    R.Q.    [f000:16e5]   MEM:  readl 000f1703 => 00f00000
004b.0054    RH.U    [f000:16eb]   CPU MSR: [00001141] => 00000000.08030000
004b.0055    RH.U    [f000:16f7]   CPU MSR: [00001141] <= 00000000.08020000
004b.0056    RH.U    [f000:16ff]   CPU MSR: [00001140] => 00000800.04000000
004b.0057    R.Q.    [f000:171c]   MEM:  readl 000f171e => 00001107
004b.0058    RH.U    [f000:1722]   CPU MSR: [00001107] => 3c3f8685.9f1f1ac6
004b.0059    RH.U    [f000:1729]   CPU MSR: [00001107] <= 3c7f8685.9f1f1ac6
004b.005a    R.Q.    [f000:029c]   MEM:  readw 000f029d => fe4c
004b.005b    R.Q.    [f000:2076]   MEM:  readb 000f2076 => 0f
004b.005c    R.Q.    [f000:2076]   MEM:  readw 000f207d => 209e
004b.005d    R.Q.    [f000:2076]   MEM:  readw 000f208d => f716
004b.005e    R.Q.    [f000:17a9]   MEM:  readw 000f17b9 => 17be
004b.005f    R.Q.    [f000:24a4]   MEM:  readw 000f24ab => ff69
0061.0062    RH..    [f000:2416]   IO: outl 0cf8 <= 8000004c
0061.0063    RH..    [f000:2434]   IO:  inb 0cff => 01
0064.0065    RH..    [f000:2460]   IO: outl 0cf8 <= 8000004c
0064.0066    RH..    [f000:247e]   IO: outb 0cff <= 01
0064.0067    R.Q.    [f000:208f]   MEM:  readw 000f2091 => 20b3
0064.0068    R.Q.    [f000:207f]   MEM:  readw 000f208d => f716
0064.0069    R.Q.    [f000:207f]   MEM:  readw 000f20a5 => 008f
0064.006a    R.Q.    [f000:207f]   MEM:  readw 000f20a7 => 20ac
006b.006c    RH..    [f000:24a4]   IO: outl 0cf8 <= 80008f48
006b.006d    RH..    [f000:2432]   IO:  inb 0cfc => 1a
006e.006f    RH..    [f000:24ad]   IO: outl 0cf8 <= 80008f48
006e.0070    RH..    [f000:247c]   IO: outb 0cfc <= 18
0071.0072    RH..    [f000:2416]   IO: outl 0cf8 <= 80000748
0071.0073    RH..    [f000:2434]   IO:  inb 0cfc => 00
0074.0075    RH..    [f000:2460]   IO: outl 0cf8 <= 80000748
0074.0076    RH..    [f000:247e]   IO: outb 0cfc <= 18
0074.0077    R.Q.    [f000:00ee]   MEM:  readw 000f00ef => 16ef
0074.0078    R.Q.    [f000:17e0]   MEM:  readw 000f17e7 => 1e13
0074.0079    R.Q.    [f000:17e0]   MEM:  readw 000f17f7 => ffac
